user,n_ideas__GPT,n_ideas__Persona,orig_all__GPT,orig_all__Persona,orig_cross__GPT,orig_cross__Persona,orig_same__GPT,orig_same__Persona,family,d_n_ideas,d_orig_same,d_orig_all,d_orig_cross,Extraversion,Agreeableness,Conscientiousness,Negative Emotionality,Open-Mindedness,cr_diff,ow_diff
39,3.0,4.0,0.2368712127208709,0.2180231064558029,0.0875165462493896,0.0543015003204345,0.2665022909641266,0.2344068586826324,BoundedRational,1.0,-0.032095432281494196,-0.018848106265068,-0.033215045928955106,4.33,3.33,4.67,2.67,4.33,0.0,0.0
40,5.0,5.0,0.23128043115139,0.2111773639917373,0.0628747940063476,0.0929473042488098,0.2566196918487549,0.2155984789133072,BoundedRational,0.0,-0.04102121293544769,-0.020103067159652682,0.0300725102424622,3.0,4.0,2.33,3.0,4.67,-1.0,2.0
41,,4.0,,0.2241699397563934,,0.0610027909278869,,0.2334965169429779,BoundedRational,,,,,4.33,5.0,5.0,2.0,3.67,-3.0,1.0
42,3.0,4.0,0.2155058532953262,0.2137352377176284,0.0612464547157287,0.0870113968849182,0.2452025562524795,0.22188800573349,BoundedRational,1.0,-0.023314550518989507,-0.0017706155776978094,0.0257649421691895,4.0,4.0,4.33,2.67,4.33,-1.0,-1.0
43,3.0,8.0,0.2352202981710434,0.2198598682880401,0.0780553817749023,0.0437490344047546,0.2592115998268127,0.2381167411804199,BoundedRational,5.0,-0.021094858646392795,-0.01536042988300329,-0.034306347370147705,2.67,3.67,4.33,3.0,3.33,2.0,0.0
44,5.0,8.0,0.2688163518905639,0.2071747034788131,0.1235605478286743,0.048136830329895,0.2868523299694061,0.2260586768388748,BoundedRational,3.0,-0.06079365313053128,-0.06164164841175082,-0.0754237174987793,4.0,4.33,3.0,3.67,3.67,0.0,-3.0
45,2.0,8.0,0.2663513123989105,0.1905170828104019,0.0985995531082153,0.0491194725036621,0.2955435216426849,0.2027105093002319,BoundedRational,6.0,-0.09283301234245298,-0.07583422958850863,-0.0494800806045532,3.0,4.33,3.0,2.67,3.33,0.0,0.0
46,1.0,6.0,0.2968859672546386,0.2055039256811142,0.1458560228347778,0.0516800880432128,0.3191805779933929,0.2223358154296875,BoundedRational,5.0,-0.09684476256370539,-0.09138204157352442,-0.094175934791565,4.67,4.33,3.33,2.0,5.0,0.0,3.0
47,3.0,2.0,0.2374790012836456,0.2794108092784881,0.0766434669494628,0.1233667731285095,0.2666768729686737,0.297903448343277,BoundedRational,-1.0,0.03122657537460327,0.0419318079948425,0.0467233061790467,4.33,4.33,4.0,2.33,5.0,-2.0,0.0
48,7.0,8.0,0.2062518298625946,0.2310535907745361,0.048136830329895,0.0749798417091369,0.1921986788511276,0.2051402777433395,Rational,1.0,0.012941598892211914,0.0248017609119415,0.026843011379241895,3.0,4.0,3.67,3.0,4.0,-1.0,1.0
49,6.0,4.0,0.1989722549915313,0.2371424734592437,0.0598155260086059,0.0706632137298584,0.1849753558635711,0.2092014849185943,Rational,-2.0,0.024226129055023193,0.0381702184677124,0.010847687721252497,5.0,3.67,2.33,5.0,5.0,-2.0,3.0
50,,1.0,,0.2869393229484558,,0.1035718917846679,,0.254407674074173,Rational,,,,,3.0,4.0,4.0,3.67,3.33,0.0,-2.0
51,2.0,6.0,0.2959187030792236,0.2072467803955078,0.1281773447990417,0.0588780045509338,0.2797611653804779,0.1812669783830642,Rational,4.0,-0.09849418699741372,-0.08867192268371576,-0.06929934024810788,3.0,3.33,4.67,4.33,3.67,-2.0,0.0
52,4.0,6.0,0.2353360503911972,0.2208528667688369,0.1047287583351135,0.0844915509223938,0.2263746559619903,0.1962494254112243,Rational,2.0,-0.03012523055076599,-0.014483183622360313,-0.0202372074127197,2.33,5.0,4.67,3.0,3.67,0.0,3.0
53,,6.0,,0.2205041646957397,,0.0647934675216674,,0.1915709674358368,Rational,,,,,4.33,3.67,4.0,3.33,3.33,1.0,2.0
54,2.0,3.0,0.2522677183151245,0.2714959681034088,0.1119294166564941,0.1324422359466552,0.2447477132081985,0.2458727806806564,Rational,1.0,0.0011250674724579135,0.019228249788284302,0.02051281929016109,2.67,3.67,3.0,2.0,3.33,1.0,0.0
55,4.0,2.0,0.2091004848480224,0.2635606527328491,0.082595407962799,0.0805671215057373,0.1964495033025741,0.2371439039707183,Rational,-2.0,0.0406944006681442,0.054460167884826716,-0.002028286457061698,2.33,4.33,2.33,3.67,4.0,1.0,-1.0
56,1.0,6.0,0.3343110382556915,0.2169381082057953,0.1618126034736633,0.0814334154129028,0.317905455827713,0.190475508570671,Rational,5.0,-0.12742994725704201,-0.11737293004989618,-0.0803791880607605,3.67,3.0,4.33,2.33,5.0,-1.0,-3.0
61,5.0,2.0,0.224543422460556,0.2415793687105178,0.0735785365104675,0.1124560236930847,0.2132174372673034,0.2225248962640762,Divergent,-3.0,0.009307458996772794,0.017035946249961798,0.0388774871826172,2.0,4.0,2.67,4.33,4.33,0.0,0.0
64,2.0,1.0,0.2659589946269989,0.2709981799125671,0.0904902815818786,0.1038941740989685,0.2458041906356811,0.2417744398117065,Divergent,-1.0,-0.004029750823974609,0.005039185285568182,0.0134038925170899,4.0,2.67,3.0,3.0,3.67,1.0,1.0
67,1.0,4.0,0.3005581200122833,0.2387571483850479,0.1201944351196289,0.1081899404525756,0.2849960327148437,0.2148451805114746,Divergent,3.0,-0.07015085220336909,-0.06180097162723541,-0.012004494667053306,3.67,3.67,3.67,2.67,3.67,1.0,3.0
68,3.0,6.0,0.2383220195770263,0.2165143340826034,0.1020847558975219,0.0678932666778564,0.2235232889652252,0.1934918910264969,Divergent,3.0,-0.030031397938728305,-0.021807685494422913,-0.0341914892196655,1.67,4.33,2.0,3.67,4.33,0.0,1.0
69,5.0,5.0,0.2029751688241958,0.2489700764417648,0.0700565576553344,0.1207618117332458,0.1907406747341156,0.227565661072731,Divergent,0.0,0.03682498633861539,0.045994907617569,0.05070525407791139,4.33,4.0,3.67,2.0,4.33,0.0,-2.0
70,4.0,4.0,0.219209685921669,0.2568370103836059,0.0619383454322814,0.0938843488693237,0.2069779485464096,0.22453673183918,Divergent,0.0,0.017558783292770386,0.037627324461936895,0.031946003437042306,2.33,4.67,4.0,2.33,4.0,0.0,1.0
71,2.0,6.0,0.279512494802475,0.2053138762712478,0.1247252225875854,0.0704905986785888,0.2668622434139251,0.1814247816801071,Divergent,4.0,-0.08543746173381803,-0.07419861853122717,-0.054234623908996596,5.0,4.0,3.67,3.0,4.33,3.0,1.0
72,5.0,7.0,0.2173596918582916,0.2222427129745483,0.0718071460723877,0.0811318159103393,0.2039684206247329,0.1951784491539001,Divergent,2.0,-0.008789971470832797,0.004883021116256714,0.009324669837951605,2.67,4.33,3.0,3.0,4.33,2.0,-1.0
73,7.0,6.0,0.2296376079320907,0.1932367980480194,0.0673887133598327,0.0670860409736633,0.2147718667984008,0.1670574396848678,Divergent,-1.0,-0.04771442711353299,-0.036400809884071295,-0.00030267238616939196,3.67,4.0,4.33,3.0,4.67,1.0,-2.0
74,3.0,6.0,0.2502798438072204,0.2471388131380081,0.0906128287315368,0.0673887133598327,0.277677059173584,0.2612038254737854,Convergent,3.0,-0.016473233699798584,-0.0031410306692123136,-0.0232241153717041,3.67,2.33,5.0,3.33,4.33,0.0,1.0
77,3.0,5.0,0.2420432567596435,0.217906191945076,0.063993215560913,0.058255910873413,0.2708877921104431,0.2356848269701004,Convergent,2.0,-0.03520296514034271,-0.02413706481456751,-0.0057373046875,2.0,4.33,4.0,3.0,1.67,-2.0,3.0
78,1.0,2.0,0.3083595335483551,0.3009129464626312,0.1182172298431396,0.1296709179878235,0.3292212188243866,0.3106629848480224,Convergent,1.0,-0.01855823397636419,-0.007446587085723877,0.01145368814468388,3.67,4.33,3.33,2.33,2.67,1.0,1.0
79,6.0,8.0,0.2184648662805557,0.2244452387094497,0.0548173189163208,0.0521609783172607,0.2522492706775665,0.2393723577260971,Convergent,2.0,-0.012876912951469366,0.005980372428894015,-0.0026563405990601002,2.0,3.67,3.33,2.0,4.0,1.0,0.0
80,3.0,,0.2221774011850357,,0.0957828164100647,,0.246398314833641,,Convergent,,,,,5.0,3.67,4.33,1.33,5.0,0.0,0.0
81,2.0,1.0,0.308921605348587,0.2839201092720032,0.1515291333198547,0.1306344866752624,0.3294033706188202,0.2948114275932312,Convergent,-1.0,-0.03459194302558899,-0.025001496076583807,-0.020894646644592313,2.67,5.0,3.67,4.67,4.33,-1.0,1.0
82,4.0,5.0,0.2367315739393234,0.228736326098442,0.0754106044769287,0.0831983089447021,0.2184101343154907,0.2030674964189529,Divergent,1.0,-0.015342637896537809,-0.007995247840881403,0.00778770446777341,2.33,3.33,2.67,2.33,4.0,0.0,1.0
83,8.0,8.0,0.1979961395263672,0.2094883322715759,0.0491194725036621,0.0612464547157287,0.1843291819095611,0.1839029341936111,Divergent,0.0,-0.0004262477159500122,0.011492192745208712,0.012126982212066595,3.0,5.0,4.0,4.0,4.33,2.0,-1.0
84,1.0,3.0,0.3223371803760528,0.2720216810703277,0.2079361081123352,0.1120979189872741,0.3168158531188965,0.2434764951467514,Divergent,2.0,-0.07333935797214508,-0.0503154993057251,-0.0958381891250611,2.0,4.0,4.33,4.0,3.33,1.0,-2.0
85,2.0,3.0,0.2412725687026977,0.2320396453142166,0.1018738150596618,0.092517614364624,0.2331931889057159,0.2083764672279358,Divergent,1.0,-0.024816721677780096,-0.009232923388481085,-0.0093562006950378,2.33,4.33,3.67,3.0,3.67,-3.0,0.0
86,6.0,5.0,0.2088196575641632,0.240745335817337,0.0604628324508667,0.0887677669525146,0.1955346912145614,0.2118682861328125,Divergent,-1.0,0.016333594918251093,0.0319256782531738,0.028304934501647908,3.67,3.67,3.33,2.0,4.33,0.0,-1.0
87,6.0,6.0,0.2029219716787338,0.2414606511592865,0.0573829412460327,0.1049849987030029,0.1941029727458953,0.2129783779382705,Divergent,0.0,0.01887540519237521,0.0385386794805527,0.0476020574569702,3.67,3.33,2.33,4.67,5.0,0.0,0.0
88,1.0,4.0,0.2769457101821899,0.2735697329044342,0.1177784204483032,0.1208522915840148,0.271927535533905,0.2440538853406906,Divergent,3.0,-0.02787365019321436,-0.003375977277755682,0.0030738711357116005,5.0,3.0,3.33,1.33,5.0,-1.0,1.0
89,8.0,9.0,0.218490645289421,0.2044387012720108,0.0733472108840942,0.0597341060638427,0.2071812897920608,0.1784397214651107,Divergent,1.0,-0.0287415683269501,-0.014051944017410195,-0.0136131048202515,3.0,3.33,2.33,4.67,4.67,-1.0,-1.0
90,4.0,2.0,0.2211911380290985,0.2579250633716583,0.0686932206153869,0.0755962133407592,0.2050511986017227,0.2275495082139969,Divergent,-2.0,0.022498309612274198,0.036733925342559814,0.006902992725372301,4.0,3.67,4.0,2.33,4.33,-1.0,3.0
91,1.0,4.0,0.2998538613319397,0.2353562712669372,0.1912460327148437,0.1197707056999206,0.2932912111282348,0.211798682808876,Divergent,3.0,-0.0814925283193588,-0.0644975900650025,-0.0714753270149231,3.0,4.0,2.33,3.67,2.67,-1.0,-1.0
92,3.0,4.0,0.2890864908695221,0.2133848965167999,0.127873420715332,0.0773020982742309,0.2708891034126282,0.1912731230258941,Divergent,1.0,-0.07961598038673406,-0.0757015943527222,-0.0505713224411011,2.0,4.33,4.33,2.33,3.67,2.0,0.0
93,1.0,2.0,0.2954391539096832,0.2737215161323547,0.132337749004364,0.0944616794586181,0.3145600259304046,0.2950536608695984,Convergent,1.0,-0.01950636506080622,-0.021717637777328547,-0.03787606954574592,4.0,3.67,3.0,2.67,3.0,0.0,-1.0
94,,3.0,,0.2310383319854736,,0.0615956783294677,,0.2473713159561157,Convergent,,,,,3.33,3.67,5.0,2.33,3.67,-1.0,0.0
95,2.0,6.0,0.2717391848564148,0.2192372381687164,0.1253663897514343,0.0697287321090698,0.2949471473693847,0.235477402806282,Convergent,4.0,-0.05946974456310272,-0.05250194668769839,-0.0556376576423645,3.0,4.67,3.33,2.67,3.67,1.0,0.0
96,3.0,3.0,0.2864503860473633,0.2412000000476837,0.1092756986618042,0.068442165851593,0.3188116252422333,0.2564319670200348,Convergent,0.0,-0.062379658222198486,-0.04525038599967959,-0.040833532810211196,4.0,4.67,2.67,2.67,3.67,-2.0,3.0
97,1.0,2.0,0.2990448474884033,0.2850966155529022,0.1023805141448974,0.0952149629592895,0.3229615986347198,0.301769495010376,Convergent,1.0,-0.021192103624343817,-0.013948231935501099,-0.00716555118560791,4.33,4.0,4.33,2.0,4.0,0.0,1.0
100,2.0,4.0,0.235949158668518,0.2481463104486465,0.0840051174163818,0.0976263284683227,0.2179494202136993,0.2240133285522461,Convergent,2.0,0.006063908338546781,0.012197151780128479,0.013621211051940904,5.0,3.67,3.67,2.33,3.67,2.0,0.0
102,8.0,7.0,0.2150548249483108,0.2150590717792511,0.0437490344047546,0.0635669231414794,0.1963937878608703,0.1916303783655166,Convergent,-1.0,-0.004763409495353699,4.246830940302093e-06,0.019817888736724798,4.67,3.33,4.0,2.0,3.0,0.0,3.0
104,7.0,8.0,0.2303977757692337,0.2302012741565704,0.0654586553573608,0.0949814915657043,0.2138596475124359,0.204203724861145,Convergent,1.0,-0.009655922651290921,-0.0001965016126632968,0.029522836208343506,3.67,3.33,3.67,2.67,3.0,1.0,0.0
105,5.0,5.0,0.2145667970180511,0.2114379107952118,0.0534417033195495,0.0548173189163208,0.1978349387645721,0.1828702241182327,Convergent,0.0,-0.014964714646339389,-0.0031288862228393,0.0013756155967713027,5.0,3.67,3.67,3.0,3.33,-1.0,0.0
106,5.0,7.0,0.2180726826190948,0.2182827889919281,0.058255910873413,0.0603425502777099,0.203449934720993,0.1899401247501373,Convergent,2.0,-0.013509809970855685,0.00021010637283330746,0.002086639404296896,3.0,4.67,4.67,2.33,2.33,2.0,-1.0
107,1.0,5.0,0.3059496283531189,0.2449158132076263,0.1464934945106506,0.1244795322418212,0.2910140454769134,0.2302085161209106,Convergent,4.0,-0.06080552935600281,-0.06103381514549261,-0.0220139622688294,3.0,2.33,5.0,2.0,3.67,4.0,-1.0
108,6.0,10.0,0.2302033603191375,0.2220247089862823,0.0781453847885131,0.1110532879829406,0.213688775897026,0.2047975212335586,Convergent,4.0,-0.008891254663467407,-0.008178651332855197,0.032907903194427504,2.33,3.67,4.33,3.33,3.67,1.0,-2.0
109,9.0,6.0,0.2142094075679779,0.202952578663826,0.0893053412437439,0.0602154731750488,0.2061249762773513,0.178705021739006,Convergent,-3.0,-0.02741995453834531,-0.011256828904151917,-0.029089868068695096,3.0,3.33,3.33,3.67,3.67,0.0,-2.0
110,,5.0,,0.2628365755081177,,0.1404657363891601,,0.2458437383174896,Convergent,,,,,1.67,4.67,4.0,2.0,3.0,-1.0,-1.0
111,2.0,5.0,0.2347463369369506,0.2623270750045776,0.0997574925422668,0.0915343165397644,0.263066291809082,0.2790710031986236,Convergent,3.0,0.016004711389541626,0.02758073806762698,-0.0082231760025024,4.33,4.67,4.33,1.33,3.33,-1.0,0.0
112,7.0,4.0,0.2140143066644668,0.2286082804203033,0.0706932544708252,0.0556459426879882,0.2020924687385559,0.202073186635971,Convergent,-3.0,-1.928210258489438e-05,0.014593973755836487,-0.015047311782836997,3.33,3.67,3.0,3.0,2.33,1.0,-1.0
113,1.0,2.0,0.3053462505340576,0.2928072810173034,0.1504042148590088,0.1406801342964172,0.2914865016937256,0.2674815356731415,Convergent,1.0,-0.024004966020584106,-0.012538969516754206,-0.00972408056259158,2.0,4.67,3.0,3.33,3.0,-4.0,-2.0
114,5.0,5.0,0.2149582505226135,0.2502226233482361,0.0718844532966613,0.0762803554534912,0.2016361057758331,0.2263530641794204,Convergent,0.0,0.024716958403587286,0.035264372825622586,0.004395902156829903,3.67,3.67,2.67,2.67,4.0,0.0,2.0
116,1.0,5.0,0.2850524485111236,0.2101686298847198,0.1123268604278564,0.0807148218154907,0.2750290930271148,0.1849035620689392,Convergent,4.0,-0.0901255309581756,-0.07488381862640381,-0.03161203861236571,2.67,3.33,3.33,2.0,3.0,1.0,-1.0
117,2.0,4.0,0.2565080523490906,0.2388059049844741,0.1162428855895996,0.091850996017456,0.2405291199684143,0.2203618586063385,Convergent,2.0,-0.020167261362075806,-0.017702147364616477,-0.024391889572143596,2.67,3.0,3.0,3.33,3.67,-2.0,-1.0
118,3.0,3.0,0.2295756489038467,0.2343812584877014,0.0869989395141601,0.096838891506195,0.2194618284702301,0.2108199447393417,Divergent,0.0,-0.008641883730888394,0.004805609583854675,0.009839951992034898,3.33,3.67,3.67,3.0,4.0,-1.0,4.0
119,5.0,2.0,0.2349003255367279,0.2446862906217575,0.0921186804771423,0.0857937335968017,0.2207799851894378,0.2146344184875488,Divergent,-3.0,-0.00614556670188901,0.009785965085029602,-0.006324946880340604,2.0,4.67,4.67,1.67,4.33,2.0,2.0
120,3.0,2.0,0.2318492531776428,0.2498998790979385,0.0712083578109741,0.0934861302375793,0.2140093594789505,0.2232576310634613,Divergent,-1.0,0.009248271584510803,0.018050625920295715,0.02227777242660521,3.0,3.33,2.67,3.0,4.67,-2.0,2.0
121,1.0,3.0,0.2944200932979584,0.2648540139198303,0.117231547832489,0.1123174428939819,0.275190532207489,0.2380018234252929,Divergent,2.0,-0.0371887087821961,-0.029566079378128052,-0.004914104938507094,2.33,4.67,3.33,2.0,4.33,-2.0,-1.0
122,1.0,1.0,0.2746021747589111,0.2900454998016357,0.1215012073516845,0.1358320116996765,0.2592044174671173,0.2611213028430938,Divergent,0.0,0.001916885375976507,0.01544332504272461,0.014330804347992013,5.0,2.67,3.33,3.33,4.33,-2.0,-1.0
124,1.0,2.0,0.330230712890625,0.2841435670852661,0.2060310244560241,0.1691852807998657,0.3134882748126983,0.2635759115219116,Divergent,1.0,-0.04991236329078669,-0.04608714580535889,-0.03684574365615839,4.33,5.0,4.0,2.0,4.0,0.0,2.0
125,6.0,13.0,0.2148590087890625,0.2065742015838623,0.0746737718582153,0.0692488551139831,0.2412514984607696,0.2159762978553772,Divergent,7.0,-0.0252752006053924,-0.008284807205200195,-0.0054249167442322055,4.0,3.0,5.0,3.67,3.33,3.0,2.0
126,4.0,8.0,0.2184087485074997,0.2025360912084579,0.0647934675216674,0.0662629008293151,0.2460905909538269,0.2115786522626876,Divergent,4.0,-0.034511938691139304,-0.015872657299041804,0.001469433307647705,3.0,4.33,3.0,4.33,4.67,2.0,1.0
127,1.0,6.0,0.3234578669071197,0.2337534427642822,0.1648940443992614,0.0781453847885131,0.3477699160575866,0.2471870332956314,Divergent,5.0,-0.1005828827619552,-0.0897044241428375,-0.08674865961074829,3.67,3.67,3.0,4.0,5.0,3.0,3.0
128,6.0,3.0,0.229237362742424,0.2384375184774398,0.0556459426879882,0.0873785018920898,0.2614555656909942,0.2443627715110778,Divergent,-3.0,-0.01709279417991641,0.009200155735015786,0.031732559204101604,4.33,4.33,4.33,1.33,5.0,-2.0,-2.0
129,2.0,4.0,0.2687652707099914,0.2361640036106109,0.0946276187896728,0.0775699615478515,0.294333279132843,0.253739982843399,Divergent,2.0,-0.040593296289444025,-0.03260126709938049,-0.017057657241821303,2.67,4.0,3.67,3.67,4.0,2.0,-1.0
130,,1.0,,0.2706279456615448,,0.1123268604278564,,0.2744975984096527,Divergent,,,,,2.33,4.33,5.0,1.33,3.67,-3.0,-3.0
131,2.0,5.0,0.2589355707168579,0.2456713318824768,0.0920677781105041,0.0851839184761047,0.2899659276008606,0.2606880068778991,Divergent,3.0,-0.02927792072296148,-0.013264238834381104,-0.0068838596343994,2.67,4.33,3.67,3.67,3.0,-1.0,-1.0
149,1.0,3.0,0.3194345533847809,0.2810870707035064,0.1495400667190551,0.0790177583694458,0.3366864323616028,0.298105776309967,Convergent,2.0,-0.0385806560516358,-0.03834748268127447,-0.07052230834960929,4.67,3.33,4.67,3.0,3.0,-1.0,-4.0
150,1.0,1.0,0.3130795359611511,0.3950140178203583,0.1624119281768798,0.1918381452560424,0.3328563868999481,0.4112883806228637,Convergent,0.0,0.0784319937229156,0.08193448185920715,0.029426217079162598,3.33,3.0,2.67,3.67,3.67,-2.0,-1.0
151,5.0,5.0,0.2257334440946579,0.2783485054969787,0.0635669231414794,0.09177827835083,0.2561579942703247,0.2920182943344116,Convergent,0.0,0.035860300064086914,0.052615061402320806,0.0282113552093506,5.0,5.0,3.0,2.67,5.0,0.0,-2.0
152,3.0,6.0,0.2692188322544098,0.2307464629411697,0.1552138328552246,0.0674083828926086,0.2889009416103363,0.2496474534273147,Convergent,3.0,-0.0392534881830216,-0.03847236931324008,-0.08780544996261601,3.33,3.67,5.0,1.67,4.0,-1.0,1.0
