conversation_id,group,criterion,score_A,score_B,final_score,decision,disagreement,high_disagreement,conv_word_count
575,control,anchor_management,0.0,1.0,0.5,keep_mean,1.0,False,313
575,control,cognitive_load_clarity,3.0,3.0,3.0,keep_mean,0.0,False,313
575,control,coregulation_uptake,2.0,2.0,2.0,keep_mean,0.0,False,313
575,control,evaluative_discipline,0.0,0.0,0.0,keep_mean,0.0,False,313
575,control,exploration_opening,2.0,2.0,2.0,keep_mean,0.0,False,313
575,control,implementation_grounding,2.0,2.0,2.0,keep_mean,0.0,False,313
575,control,premature_convergence_risk,1.0,2.0,1.5,keep_mean,1.0,False,313
575,control,reframing_quality,0.0,0.0,0.0,keep_mean,0.0,False,313
575,control,runaway_divergence_risk,0.0,1.0,0.5,keep_mean,1.0,False,313
575,control,stance_integrity,1.0,0.0,0.5,keep_mean,1.0,False,313
575,control,timing_fit,2.0,2.0,2.0,keep_mean,0.0,False,313
593,treatment,agency_preservation,3.0,3.0,3.0,keep_mean,0.0,False,2228
593,treatment,anchor_management,2.0,2.0,2.0,keep_mean,0.0,False,2228
593,treatment,cognitive_load_clarity,3.0,3.0,3.0,keep_mean,0.0,False,2228
593,treatment,coregulation_uptake,3.0,3.0,3.0,keep_mean,0.0,False,2228
593,treatment,evaluative_discipline,2.0,2.0,2.0,keep_mean,0.0,False,2228
593,treatment,exploration_opening,2.0,2.0,2.0,keep_mean,0.0,False,2228
593,treatment,implementation_grounding,3.0,2.0,2.5,keep_mean,1.0,False,2228
593,treatment,premature_convergence_risk,1.0,2.0,1.5,keep_mean,1.0,False,2228
593,treatment,reframing_quality,2.0,2.0,2.0,keep_mean,0.0,False,2228
593,treatment,runaway_divergence_risk,1.0,1.0,1.0,keep_mean,0.0,False,2228
593,treatment,stance_integrity,3.0,3.0,3.0,keep_mean,0.0,False,2228
593,treatment,timing_fit,3.0,3.0,3.0,keep_mean,0.0,False,2228
595,treatment,agency_preservation,3.0,3.0,3.0,keep_mean,0.0,False,3094
595,treatment,anchor_management,2.0,2.0,2.0,keep_mean,0.0,False,3094
595,treatment,cognitive_load_clarity,3.0,3.0,3.0,keep_mean,0.0,False,3094
595,treatment,coregulation_uptake,3.0,3.0,3.0,keep_mean,0.0,False,3094
595,treatment,evaluative_discipline,3.0,3.0,3.0,keep_mean,0.0,False,3094
595,treatment,exploration_opening,2.0,2.0,2.0,keep_mean,0.0,False,3094
595,treatment,implementation_grounding,4.0,4.0,4.0,keep_mean,0.0,False,3094
595,treatment,premature_convergence_risk,2.0,1.0,1.5,keep_mean,1.0,False,3094
595,treatment,reframing_quality,1.0,2.0,1.5,keep_mean,1.0,False,3094
595,treatment,runaway_divergence_risk,1.0,0.0,0.5,keep_mean,1.0,False,3094
595,treatment,stance_integrity,3.0,3.0,3.0,keep_mean,0.0,False,3094
595,treatment,timing_fit,3.0,3.0,3.0,keep_mean,0.0,False,3094
605,control,agency_preservation,2.0,2.0,2.0,keep_mean,0.0,False,559
605,control,anchor_management,0.0,1.0,0.5,keep_mean,1.0,False,559
605,control,cognitive_load_clarity,2.0,2.0,2.0,keep_mean,0.0,False,559
605,control,coregulation_uptake,1.0,1.0,1.0,keep_mean,0.0,False,559
605,control,evaluative_discipline,0.0,0.0,0.0,keep_mean,0.0,False,559
605,control,exploration_opening,2.0,2.0,2.0,keep_mean,0.0,False,559
605,control,implementation_grounding,1.0,1.0,1.0,keep_mean,0.0,False,559
605,control,premature_convergence_risk,3.0,2.0,2.5,keep_mean,1.0,False,559
605,control,reframing_quality,1.0,1.0,1.0,keep_mean,0.0,False,559
605,control,runaway_divergence_risk,1.0,1.0,1.0,keep_mean,0.0,False,559
605,control,stance_integrity,1.0,1.0,1.0,keep_mean,0.0,False,559
605,control,timing_fit,1.0,1.0,1.0,keep_mean,0.0,False,559
661,treatment,agency_preservation,2.0,2.0,2.0,keep_mean,0.0,False,1452
661,treatment,anchor_management,0.0,0.0,0.0,keep_mean,0.0,False,1452
661,treatment,cognitive_load_clarity,1.0,2.0,1.5,keep_mean,1.0,False,1452
661,treatment,coregulation_uptake,1.0,2.0,1.5,keep_mean,1.0,False,1452
661,treatment,evaluative_discipline,0.0,1.0,0.5,keep_mean,1.0,False,1452
661,treatment,exploration_opening,2.0,2.0,2.0,keep_mean,0.0,False,1452
661,treatment,implementation_grounding,0.0,1.0,0.5,keep_mean,1.0,False,1452
661,treatment,premature_convergence_risk,3.0,3.0,3.0,keep_mean,0.0,False,1452
661,treatment,reframing_quality,1.0,1.0,1.0,keep_mean,0.0,False,1452
661,treatment,runaway_divergence_risk,1.0,0.0,0.5,keep_mean,1.0,False,1452
661,treatment,stance_integrity,0.0,1.0,0.5,keep_mean,1.0,False,1452
661,treatment,timing_fit,0.0,1.0,0.5,keep_mean,1.0,False,1452
667,treatment,agency_preservation,3.0,3.0,3.0,keep_mean,0.0,False,1456
667,treatment,anchor_management,3.0,3.0,3.0,keep_mean,0.0,False,1456
667,treatment,cognitive_load_clarity,3.0,3.0,3.0,keep_mean,0.0,False,1456
667,treatment,coregulation_uptake,3.0,3.0,3.0,keep_mean,0.0,False,1456
667,treatment,evaluative_discipline,1.0,1.0,1.0,keep_mean,0.0,False,1456
667,treatment,exploration_opening,4.0,4.0,4.0,keep_mean,0.0,False,1456
667,treatment,implementation_grounding,1.0,1.0,1.0,keep_mean,0.0,False,1456
667,treatment,premature_convergence_risk,0.0,0.0,0.0,keep_mean,0.0,False,1456
667,treatment,reframing_quality,2.0,3.0,2.5,keep_mean,1.0,False,1456
667,treatment,runaway_divergence_risk,3.0,3.0,3.0,keep_mean,0.0,False,1456
667,treatment,stance_integrity,3.0,3.0,3.0,keep_mean,0.0,False,1456
667,treatment,timing_fit,2.0,2.0,2.0,keep_mean,0.0,False,1456
679,treatment,agency_preservation,2.0,1.0,1.5,keep_mean,1.0,False,2970
679,treatment,anchor_management,0.0,0.0,0.0,keep_mean,0.0,False,2970
679,treatment,cognitive_load_clarity,2.0,1.0,1.5,keep_mean,1.0,False,2970
679,treatment,coregulation_uptake,1.0,1.0,1.0,keep_mean,0.0,False,2970
679,treatment,evaluative_discipline,0.0,0.0,0.0,keep_mean,0.0,False,2970
679,treatment,exploration_opening,1.0,2.0,1.5,keep_mean,1.0,False,2970
679,treatment,implementation_grounding,1.0,1.0,1.0,keep_mean,0.0,False,2970
679,treatment,premature_convergence_risk,2.0,0.0,0.0,use_lower,2.0,True,2970
679,treatment,reframing_quality,0.0,1.0,0.5,keep_mean,1.0,False,2970
679,treatment,runaway_divergence_risk,3.0,4.0,3.5,keep_mean,1.0,False,2970
679,treatment,stance_integrity,0.0,0.0,0.0,keep_mean,0.0,False,2970
679,treatment,timing_fit,1.0,1.0,1.0,keep_mean,0.0,False,2970
695,control,agency_preservation,2.0,2.0,2.0,keep_mean,0.0,False,812
695,control,anchor_management,0.0,1.0,0.5,keep_mean,1.0,False,812
695,control,cognitive_load_clarity,3.0,3.0,3.0,keep_mean,0.0,False,812
695,control,coregulation_uptake,1.0,1.0,1.0,keep_mean,0.0,False,812
695,control,evaluative_discipline,0.0,0.0,0.0,keep_mean,0.0,False,812
695,control,exploration_opening,1.0,2.0,1.5,keep_mean,1.0,False,812
695,control,implementation_grounding,1.0,1.0,1.0,keep_mean,0.0,False,812
695,control,premature_convergence_risk,1.0,1.0,1.0,keep_mean,0.0,False,812
695,control,reframing_quality,0.0,0.0,0.0,keep_mean,0.0,False,812
695,control,runaway_divergence_risk,1.0,2.0,1.5,keep_mean,1.0,False,812
695,control,stance_integrity,1.0,1.0,1.0,keep_mean,0.0,False,812
695,control,timing_fit,2.0,2.0,2.0,keep_mean,0.0,False,812
719,treatment,agency_preservation,3.0,3.0,3.0,keep_mean,0.0,False,786
719,treatment,anchor_management,2.0,2.0,2.0,keep_mean,0.0,False,786
719,treatment,cognitive_load_clarity,3.0,3.0,3.0,keep_mean,0.0,False,786
719,treatment,coregulation_uptake,3.0,3.0,3.0,keep_mean,0.0,False,786
719,treatment,evaluative_discipline,1.0,1.0,1.0,keep_mean,0.0,False,786
719,treatment,exploration_opening,2.0,2.0,2.0,keep_mean,0.0,False,786
719,treatment,implementation_grounding,2.0,2.0,2.0,keep_mean,0.0,False,786
719,treatment,premature_convergence_risk,1.0,1.0,1.0,keep_mean,0.0,False,786
719,treatment,reframing_quality,2.0,2.0,2.0,keep_mean,0.0,False,786
719,treatment,runaway_divergence_risk,1.0,1.0,1.0,keep_mean,0.0,False,786
719,treatment,stance_integrity,3.0,3.0,3.0,keep_mean,0.0,False,786
719,treatment,timing_fit,3.0,3.0,3.0,keep_mean,0.0,False,786
731,treatment,agency_preservation,2.0,2.0,2.0,keep_mean,0.0,False,1409
731,treatment,anchor_management,0.0,0.0,0.0,keep_mean,0.0,False,1409
731,treatment,cognitive_load_clarity,2.0,2.0,2.0,keep_mean,0.0,False,1409
731,treatment,coregulation_uptake,1.0,1.0,1.0,keep_mean,0.0,False,1409
731,treatment,evaluative_discipline,0.0,0.0,0.0,keep_mean,0.0,False,1409
731,treatment,exploration_opening,2.0,2.0,2.0,keep_mean,0.0,False,1409
731,treatment,implementation_grounding,1.0,1.0,1.0,keep_mean,0.0,False,1409
731,treatment,premature_convergence_risk,1.0,1.0,1.0,keep_mean,0.0,False,1409
731,treatment,reframing_quality,1.0,1.0,1.0,keep_mean,0.0,False,1409
731,treatment,runaway_divergence_risk,2.0,3.0,2.5,keep_mean,1.0,False,1409
731,treatment,stance_integrity,2.0,1.0,1.5,keep_mean,1.0,False,1409
731,treatment,timing_fit,1.0,1.0,1.0,keep_mean,0.0,False,1409
733,treatment,agency_preservation,3.0,3.0,3.0,keep_mean,0.0,False,1626
733,treatment,anchor_management,2.0,2.0,2.0,keep_mean,0.0,False,1626
733,treatment,cognitive_load_clarity,3.0,3.0,3.0,keep_mean,0.0,False,1626
733,treatment,coregulation_uptake,3.0,3.0,3.0,keep_mean,0.0,False,1626
733,treatment,evaluative_discipline,3.0,2.0,2.5,keep_mean,1.0,False,1626
733,treatment,exploration_opening,3.0,3.0,3.0,keep_mean,0.0,False,1626
733,treatment,implementation_grounding,3.0,2.0,2.5,keep_mean,1.0,False,1626
733,treatment,premature_convergence_risk,0.0,1.0,0.5,keep_mean,1.0,False,1626
733,treatment,reframing_quality,2.0,2.0,2.0,keep_mean,0.0,False,1626
733,treatment,runaway_divergence_risk,1.0,1.0,1.0,keep_mean,0.0,False,1626
733,treatment,stance_integrity,3.0,3.0,3.0,keep_mean,0.0,False,1626
733,treatment,timing_fit,3.0,2.0,2.5,keep_mean,1.0,False,1626
737,treatment,agency_preservation,3.0,3.0,3.0,keep_mean,0.0,False,1784
737,treatment,anchor_management,3.0,2.0,2.5,keep_mean,1.0,False,1784
737,treatment,cognitive_load_clarity,3.0,3.0,3.0,keep_mean,0.0,False,1784
737,treatment,coregulation_uptake,3.0,3.0,3.0,keep_mean,0.0,False,1784
737,treatment,evaluative_discipline,1.0,2.0,1.5,keep_mean,1.0,False,1784
737,treatment,exploration_opening,3.0,3.0,3.0,keep_mean,0.0,False,1784
737,treatment,implementation_grounding,2.0,3.0,2.5,keep_mean,1.0,False,1784
737,treatment,premature_convergence_risk,0.0,1.0,0.5,keep_mean,1.0,False,1784
737,treatment,reframing_quality,3.0,3.0,3.0,keep_mean,0.0,False,1784
737,treatment,runaway_divergence_risk,1.0,1.0,1.0,keep_mean,0.0,False,1784
737,treatment,stance_integrity,3.0,3.0,3.0,keep_mean,0.0,False,1784
737,treatment,timing_fit,3.0,3.0,3.0,keep_mean,0.0,False,1784
751,control,agency_preservation,3.0,3.0,3.0,keep_mean,0.0,False,1006
751,control,anchor_management,1.0,1.0,1.0,keep_mean,0.0,False,1006
751,control,cognitive_load_clarity,3.0,3.0,3.0,keep_mean,0.0,False,1006
751,control,coregulation_uptake,3.0,3.0,3.0,keep_mean,0.0,False,1006
751,control,evaluative_discipline,1.0,1.0,1.0,keep_mean,0.0,False,1006
751,control,exploration_opening,2.0,2.0,2.0,keep_mean,0.0,False,1006
751,control,implementation_grounding,2.0,2.0,2.0,keep_mean,0.0,False,1006
751,control,premature_convergence_risk,1.0,1.0,1.0,keep_mean,0.0,False,1006
751,control,reframing_quality,1.0,1.0,1.0,keep_mean,0.0,False,1006
751,control,runaway_divergence_risk,1.0,1.0,1.0,keep_mean,0.0,False,1006
751,control,stance_integrity,3.0,3.0,3.0,keep_mean,0.0,False,1006
751,control,timing_fit,3.0,3.0,3.0,keep_mean,0.0,False,1006
753,treatment,agency_preservation,4.0,4.0,4.0,keep_mean,0.0,False,1442
753,treatment,anchor_management,3.0,2.0,2.5,keep_mean,1.0,False,1442
753,treatment,cognitive_load_clarity,3.0,3.0,3.0,keep_mean,0.0,False,1442
753,treatment,coregulation_uptake,4.0,4.0,4.0,keep_mean,0.0,False,1442
753,treatment,evaluative_discipline,2.0,1.0,1.5,keep_mean,1.0,False,1442
753,treatment,exploration_opening,4.0,3.0,3.5,keep_mean,1.0,False,1442
753,treatment,implementation_grounding,2.0,2.0,2.0,keep_mean,0.0,False,1442
753,treatment,premature_convergence_risk,0.0,0.0,0.0,keep_mean,0.0,False,1442
753,treatment,reframing_quality,3.0,2.0,2.5,keep_mean,1.0,False,1442
753,treatment,runaway_divergence_risk,1.0,1.0,1.0,keep_mean,0.0,False,1442
753,treatment,stance_integrity,3.0,3.0,3.0,keep_mean,0.0,False,1442
753,treatment,timing_fit,3.0,3.0,3.0,keep_mean,0.0,False,1442
