i,mid,exp,con,cri,tone,cer,com,ref,prop,qtype
86,1383,0,0,0,none,2,0,0,2,none
87,1384,1,1,0,none,2,0,0,2,open_what_if
88,1389,0,0,0,none,1,0,0,0,none
89,1399,0,0,0,none,1,0,0,0,clarify
90,1579,0,0,0,none,1,0,0,0,clarify
91,1580,0,0,0,none,1,0,0,0,clarify
92,1583,0,0,0,none,1,0,0,0,clarify
93,1585,0,0,0,none,1,0,0,0,clarify
94,1586,0,0,0,none,1,0,0,0,clarify
95,1590,0,0,0,none,1,0,0,0,clarify
96,1592,0,0,0,none,1,0,0,0,clarify
97,1597,0,1,0,none,2,0,0,0,clarify
98,1599,0,1,0,none,2,0,0,0,clarify
99,1602,1,2,0,none,2,0,0,0,criteria_setting
100,1606,0,3,0,none,3,0,0,0,criteria_setting
101,1607,0,1,0,none,2,0,0,0,clarify
102,1609,0,1,0,none,2,0,0,0,clarify
103,1611,0,1,0,none,2,0,0,0,clarify
104,1621,0,1,0,none,2,0,1,0,none
105,1626,1,2,0,none,2,0,1,0,criteria_setting
106,1627,0,1,1,neutral,3,0,0,0,none
107,1631,0,2,0,none,2,0,0,1,criteria_setting
108,1632,1,3,0,none,3,0,0,0,criteria_setting
109,1634,1,1,0,none,2,0,0,0,open_what_if
110,1637,0,0,2,neutral,1,1,0,0,none
111,1639,0,0,0,none,2,0,0,0,none
112,1643,0,1,0,none,2,0,0,0,clarify
113,1644,2,1,0,none,2,0,1,2,none
114,1645,1,1,0,none,2,0,0,0,open_what_if
115,1649,0,0,1,neutral,2,0,0,0,none
116,1650,1,3,0,none,3,0,0,2,criteria_setting
117,1656,1,3,0,none,3,0,0,2,criteria_setting
118,1662,0,0,0,none,2,0,1,2,none
119,1666,0,2,2,neutral,2,0,0,0,criteria_setting
120,1670,1,2,0,none,2,0,0,2,open_what_if
121,1671,0,0,0,none,1,0,0,0,clarify
122,1672,2,3,0,none,3,0,1,0,criteria_setting
123,1676,0,3,2,constructive,3,0,0,0,criteria_setting
124,1677,0,0,0,none,1,0,0,0,none
125,1679,1,2,0,none,2,1,0,2,open_what_if
126,1680,2,1,0,none,2,0,0,2,open_what_if
127,1681,0,0,0,none,1,0,0,2,none
128,1682,0,1,0,none,2,0,0,1,clarify
129,1688,0,3,3,constructive,3,0,0,1,criteria_setting
130,1689,1,1,0,none,2,0,0,2,none
131,1693,0,1,2,neutral,2,0,0,0,none
132,1696,1,2,0,none,2,0,1,2,open_what_if
133,1698,1,2,0,none,2,1,0,2,open_what_if
134,1703,0,1,0,none,2,1,0,0,none
135,1704,1,2,0,none,2,0,0,2,open_what_if
136,1707,0,0,0,none,2,1,0,0,none
137,1709,0,0,1,neutral,2,0,0,0,none
138,1713,1,1,0,none,2,0,0,2,none
139,1714,1,1,0,none,2,0,0,0,open_what_if
140,1715,1,1,0,none,2,1,0,2,none
141,1717,0,1,1,constructive,2,0,0,2,none
142,1718,1,3,3,constructive,3,0,0,1,criteria_setting
143,1719,0,0,0,none,2,1,0,0,none
144,1720,0,0,0,none,2,1,0,0,none
145,1728,0,0,0,none,2,0,0,0,none
146,1734,1,2,0,none,2,0,0,2,open_what_if
147,1738,1,2,0,none,2,2,0,2,none
148,1742,1,2,0,none,2,1,0,1,open_what_if
149,1746,1,2,0,none,2,0,0,1,open_what_if
150,1777,0,2,0,none,3,1,0,3,none
151,1780,0,2,0,none,3,1,0,3,none
152,1846,0,0,0,none,1,0,0,0,clarify
153,1891,1,0,0,none,2,0,0,0,none
154,1921,0,2,0,none,3,1,0,3,none
155,1988,0,0,0,none,1,0,0,0,clarify
156,2100,2,1,0,none,2,0,1,1,open_what_if
157,2153,0,1,0,none,2,0,0,0,clarify
158,2251,1,1,0,none,2,0,0,2,none
159,2285,0,0,0,none,1,0,0,0,none
160,2287,0,0,0,none,1,0,0,0,clarify
161,2293,0,0,0,none,1,0,0,0,none
162,2309,2,1,0,none,2,0,1,1,open_what_if
163,2318,2,1,0,none,2,0,1,1,open_what_if
164,2327,0,0,0,none,2,0,0,2,none
165,2335,0,1,0,none,2,0,0,1,none
166,2337,1,1,0,none,2,1,0,2,none
167,2342,3,1,0,none,2,0,2,1,open_what_if
168,2374,3,1,0,none,2,0,2,1,open_what_if
169,2384,3,1,0,none,2,0,2,2,open_what_if
170,2413,0,1,0,none,3,1,0,1,none
171,2465,0,0,0,none,1,0,0,1,none
172,2498,0,2,2,constructive,3,1,0,2,none
173,2522,0,0,0,none,1,0,0,0,clarify
174,2544,0,2,0,none,3,1,0,3,none
175,2558,0,0,0,none,1,0,0,0,clarify
176,2578,0,0,0,none,1,0,0,0,clarify
177,2590,0,0,0,none,2,1,0,0,none
178,2600,0,1,0,none,3,1,0,1,none
179,2624,0,2,0,none,2,0,0,0,criteria_setting
180,2644,1,3,0,none,3,0,0,1,criteria_setting
181,2654,1,2,0,none,2,0,0,2,open_what_if
182,2656,0,2,0,none,3,0,0,1,criteria_setting
183,2661,0,1,1,neutral,2,0,0,0,none
184,2664,0,3,0,none,3,0,0,1,criteria_setting
185,2668,1,2,0,none,2,0,0,2,open_what_if
186,2674,1,3,0,none,3,0,0,2,criteria_setting
187,2685,0,0,0,none,1,0,0,1,none
188,2693,0,0,0,none,3,1,0,0,none
189,2713,0,2,0,none,3,1,0,2,none
190,2716,2,2,0,none,2,0,1,2,open_what_if
191,2814,0,2,0,none,3,1,0,3,none
192,2857,0,2,0,none,3,1,0,3,none
193,2871,0,0,0,none,1,0,0,0,clarify
194,2917,0,0,0,none,2,0,0,2,none
195,2960,0,2,0,none,3,1,0,3,none
196,2961,0,2,0,none,2,0,0,0,criteria_setting
197,2971,0,2,0,none,3,1,0,3,none
198,3043,0,0,0,none,1,0,0,0,none
199,3056,0,0,0,none,1,0,0,0,clarify
200,3070,0,1,0,none,2,0,0,0,clarify
201,3075,0,1,0,none,2,0,0,0,clarify
202,3084,0,0,0,none,1,0,0,0,none
203,3087,0,1,0,none,2,0,0,0,clarify
204,3088,2,1,0,none,2,0,1,1,open_what_if
205,3094,3,1,0,none,2,0,2,2,open_what_if
206,3145,0,0,1,neutral,2,0,0,0,clarify
207,3147,1,1,0,none,2,0,0,2,none
208,3162,2,0,0,none,2,0,1,2,none
209,3164,3,1,0,none,2,0,2,1,open_what_if
210,3186,2,1,0,none,2,1,0,2,open_what_if
211,3198,3,1,0,none,2,0,2,1,open_what_if
212,3207,1,0,0,none,2,0,1,2,none
213,3226,3,1,0,none,2,0,1,2,open_what_if
214,3246,0,0,0,none,1,0,0,0,clarify
215,3257,0,0,0,none,1,0,0,0,clarify
216,3267,0,0,0,none,1,0,0,0,clarify
217,3308,1,1,0,none,2,1,0,2,none
218,3313,0,1,1,neutral,2,0,0,0,none
219,3349,0,1,0,none,2,0,0,0,clarify
220,3434,0,2,0,none,3,1,0,2,none
221,3437,0,0,0,none,1,0,0,0,none
222,3440,1,2,0,none,2,0,0,2,open_what_if
223,3441,1,1,1,constructive,2,0,0,2,open_what_if
224,3450,0,0,0,none,1,0,0,0,clarify
225,3509,0,1,0,none,2,0,0,0,clarify
226,3530,0,0,0,none,1,0,0,0,clarify
227,3567,1,0,0,none,2,0,0,2,none
228,3570,0,2,0,none,2,0,0,0,criteria_setting
229,3576,1,2,0,none,2,0,0,2,open_what_if
230,3586,1,2,0,none,2,0,0,2,open_what_if
231,3591,1,0,0,none,2,0,0,2,none
232,3601,0,0,0,none,2,0,0,2,none
233,3633,0,0,0,none,2,0,0,1,none
234,3634,0,2,0,none,2,0,0,1,criteria_setting
235,3643,0,0,0,none,2,0,0,1,none
236,3656,1,2,0,none,2,1,0,1,open_what_if
237,3684,1,2,0,none,2,0,0,2,open_what_if
238,3700,0,1,0,none,2,1,0,2,none
239,3710,0,2,0,none,2,1,0,0,open_what_if
240,3714,2,1,0,none,2,0,1,2,open_what_if
241,3719,1,0,0,none,2,1,0,2,none
242,3736,0,0,0,none,1,0,0,0,none
243,3738,1,2,0,none,3,1,0,2,none
244,3749,0,0,0,none,3,1,0,0,none
245,3761,0,1,0,none,2,0,0,0,open_what_if
246,3801,1,2,0,none,2,0,0,2,open_what_if
247,3827,1,0,0,none,2,0,0,2,none
248,3848,0,0,0,none,1,0,0,0,none
249,3880,0,0,0,none,1,0,0,0,clarify
250,3895,0,1,0,none,2,0,0,0,clarify
251,3927,0,0,0,none,2,0,0,0,clarify
252,3930,0,1,0,none,3,1,0,1,none
253,3955,1,0,0,none,2,0,0,0,open_what_if
254,3958,1,0,0,none,2,0,0,2,none
255,4053,0,2,0,none,3,1,0,1,none
256,4059,1,1,0,none,2,1,0,1,none
257,4065,0,0,0,none,2,0,0,0,clarify
258,4100,0,3,0,none,3,1,0,3,none
259,4139,0,2,0,none,3,1,0,3,none
260,4201,0,0,0,none,1,0,0,0,clarify
261,4209,0,0,0,none,2,0,0,0,clarify
262,4250,0,0,0,none,1,0,0,0,clarify
263,4277,0,1,0,none,2,0,0,0,clarify
264,4315,0,1,0,none,2,0,0,2,none
265,4330,3,0,0,none,2,0,2,2,open_what_if
266,4335,0,2,2,neutral,2,1,1,1,none
267,4336,2,1,0,none,2,0,2,1,open_what_if
268,4337,1,0,0,none,2,0,0,2,none
269,4353,2,1,0,none,2,0,1,1,open_what_if
270,4356,3,1,0,none,2,0,1,2,open_what_if
271,4366,3,1,0,none,2,0,2,0,open_what_if
272,4379,1,1,0,none,2,1,0,2,none
273,4430,0,2,0,none,3,1,0,2,clarify
274,4440,0,0,0,none,1,0,0,0,clarify
275,4573,1,0,0,none,2,0,0,0,clarify
276,4600,0,2,0,none,3,1,0,2,none
277,4609,0,0,0,none,1,0,0,0,clarify
278,4669,3,1,0,none,2,0,2,2,open_what_if
279,4672,3,1,0,none,2,0,2,1,open_what_if
280,4679,0,1,0,none,2,0,0,0,clarify
281,4684,3,1,0,none,2,0,2,2,open_what_if
282,4690,3,1,0,none,2,0,2,1,open_what_if
283,4698,3,1,0,none,2,0,1,2,open_what_if
284,4700,3,1,0,none,2,0,1,1,open_what_if
285,4723,1,1,0,none,2,1,0,3,none
286,4728,3,0,0,none,2,0,2,1,open_what_if
287,4743,0,0,0,none,1,0,0,0,clarify
288,4749,0,0,0,none,2,0,0,2,none
289,4761,0,0,0,none,1,0,0,0,none
290,4762,0,0,0,none,2,0,0,1,none
291,5043,0,1,0,none,2,0,0,0,clarify
292,5053,0,0,1,neutral,2,0,0,0,none
293,5059,0,2,0,none,2,1,0,2,none
294,5063,1,1,0,none,2,0,0,1,none
295,5076,0,3,0,none,3,1,0,1,criteria_setting
296,5079,0,1,0,none,2,1,0,2,none
297,5154,0,0,0,none,1,0,0,0,clarify
298,5155,0,1,0,none,2,0,0,0,clarify
299,5163,0,2,0,none,3,2,0,0,none
