conversation_id,group,persona_key,persona,originality_1_7,value_1_7,insight_reframing_1_7,development_1_7,integration_1_7,human_ethical_1_7,process_evidence_1_7,holistic_creativity_1_7,token_count
945,experiment group,innovation,Innovation/Strategy Expert,5.0,5.0,3.0,5.0,5.0,1.0,3.0,5.0,416
947,experiment group,design_thinking,Design Thinking Expert,5.0,4.0,5.0,5.0,2.0,3.0,3.0,4.0,659
947,experiment group,social_psych,Social Psychology Researcher,5.0,3.0,5.0,4.0,1.0,2.0,1.0,3.0,659
947,experiment group,hci,HCI Expert,5.0,4.0,5.0,5.0,1.0,3.0,1.0,4.0,659
947,experiment group,Philosopher,Philosopher/Ethicist,5.0,4.0,4.0,5.0,1.0,1.0,1.0,4.0,659
947,experiment group,innovation,Innovation/Strategy Expert,5.0,4.0,5.0,5.0,2.0,3.0,3.0,4.0,659
951,experiment group,design_thinking,Design Thinking Expert,4.0,5.0,5.0,3.0,4.0,3.0,1.0,4.0,886
951,experiment group,social_psych,Social Psychology Researcher,5.0,6.0,6.0,4.0,4.0,4.0,3.0,4.0,886
951,experiment group,hci,HCI Expert,3.0,4.0,5.0,4.0,4.0,3.0,2.0,4.0,886
951,experiment group,Philosopher,Philosopher/Ethicist,4.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,886
951,experiment group,innovation,Innovation/Strategy Expert,5.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,886
953,experiment group,design_thinking,Design Thinking Expert,1.0,5.0,4.0,3.0,1.0,2.0,2.0,2.0,144
953,experiment group,social_psych,Social Psychology Researcher,2.0,6.0,5.0,5.0,1.0,3.0,2.0,3.0,144
953,experiment group,hci,HCI Expert,2.0,6.0,5.0,3.0,1.0,2.0,1.0,2.0,144
953,experiment group,Philosopher,Philosopher/Ethicist,2.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,144
953,experiment group,innovation,Innovation/Strategy Expert,2.0,4.0,4.0,3.0,1.0,2.0,1.0,2.0,144
955,control group,design_thinking,Design Thinking Expert,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,379
955,control group,social_psych,Social Psychology Researcher,2.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,379
955,control group,hci,HCI Expert,4.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,379
955,control group,Philosopher,Philosopher/Ethicist,3.0,3.0,3.0,4.0,2.0,5.0,4.0,3.0,379
955,control group,innovation,Innovation/Strategy Expert,3.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0,379
957,experiment group,design_thinking,Design Thinking Expert,4.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,500
957,experiment group,social_psych,Social Psychology Researcher,3.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,500
957,experiment group,hci,HCI Expert,4.0,5.0,4.0,4.0,4.0,3.0,6.0,4.0,500
957,experiment group,Philosopher,Philosopher/Ethicist,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,500
957,experiment group,innovation,Innovation/Strategy Expert,4.0,6.0,6.0,4.0,3.0,3.0,5.0,4.0,500
961,experiment group,design_thinking,Design Thinking Expert,3.0,4.0,1.0,3.0,4.0,2.0,1.0,3.0,45
961,experiment group,social_psych,Social Psychology Researcher,3.0,4.0,2.0,3.0,4.0,1.0,3.0,3.0,45
961,experiment group,hci,HCI Expert,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,45
961,experiment group,Philosopher,Philosopher/Ethicist,4.0,4.0,2.0,2.0,5.0,2.0,2.0,2.0,45
961,experiment group,innovation,Innovation/Strategy Expert,5.0,5.0,2.0,4.0,5.0,2.0,3.0,4.0,45
969,experiment group,design_thinking,Design Thinking Expert,4.0,3.0,6.0,5.0,2.0,2.0,2.0,3.0,166
969,experiment group,social_psych,Social Psychology Researcher,4.0,4.0,6.0,4.0,2.0,1.0,2.0,4.0,166
969,experiment group,hci,HCI Expert,4.0,3.0,5.0,4.0,2.0,2.0,2.0,3.0,166
969,experiment group,Philosopher,Philosopher/Ethicist,6.0,3.0,6.0,3.0,3.0,3.0,3.0,3.0,166
969,experiment group,innovation,Innovation/Strategy Expert,2.0,3.0,6.0,3.0,2.0,2.0,2.0,2.0,166
971,experiment group,design_thinking,Design Thinking Expert,4.0,5.0,6.0,6.0,6.0,3.0,2.0,5.0,717
971,experiment group,social_psych,Social Psychology Researcher,4.0,4.0,5.0,3.0,5.0,3.0,3.0,4.0,717
971,experiment group,hci,HCI Expert,4.0,5.0,6.0,6.0,6.0,3.0,2.0,5.0,717
971,experiment group,Philosopher,Philosopher/Ethicist,4.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,717
971,experiment group,innovation,Innovation/Strategy Expert,5.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,717
975,control group,design_thinking,Design Thinking Expert,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,840
975,control group,social_psych,Social Psychology Researcher,4.0,4.0,5.0,4.0,6.0,3.0,6.0,4.0,840
975,control group,hci,HCI Expert,3.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,840
975,control group,Philosopher,Philosopher/Ethicist,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,840
975,control group,innovation,Innovation/Strategy Expert,3.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,840
979,control group,design_thinking,Design Thinking Expert,4.0,3.0,3.0,1.0,4.0,1.0,1.0,3.0,312
979,control group,social_psych,Social Psychology Researcher,5.0,4.0,3.0,1.0,4.0,1.0,1.0,3.0,312
979,control group,hci,HCI Expert,4.0,3.0,3.0,1.0,4.0,1.0,1.0,3.0,312
979,control group,Philosopher,Philosopher/Ethicist,5.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,312
979,control group,innovation,Innovation/Strategy Expert,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,312
981,experiment group,design_thinking,Design Thinking Expert,3.0,4.0,4.0,4.0,5.0,3.0,2.0,4.0,730
981,experiment group,social_psych,Social Psychology Researcher,3.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,730
981,experiment group,hci,HCI Expert,4.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,730
981,experiment group,Philosopher,Philosopher/Ethicist,3.0,5.0,5.0,6.0,6.0,3.0,3.0,5.0,730
981,experiment group,innovation,Innovation/Strategy Expert,3.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,730
983,experiment group,design_thinking,Design Thinking Expert,5.0,4.0,6.0,5.0,6.0,3.0,6.0,5.0,1273
983,experiment group,social_psych,Social Psychology Researcher,5.0,3.0,5.0,5.0,6.0,3.0,5.0,5.0,1273
983,experiment group,hci,HCI Expert,6.0,4.0,6.0,5.0,5.0,3.0,6.0,5.0,1273
983,experiment group,Philosopher,Philosopher/Ethicist,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,1273
983,experiment group,innovation,Innovation/Strategy Expert,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,1273
985,experiment group,design_thinking,Design Thinking Expert,4.0,3.0,5.0,2.0,5.0,3.0,2.0,3.0,243
985,experiment group,social_psych,Social Psychology Researcher,4.0,3.0,4.0,2.0,4.0,3.0,1.0,3.0,243
985,experiment group,hci,HCI Expert,5.0,4.0,5.0,4.0,5.0,2.0,2.0,4.0,243
985,experiment group,Philosopher,Philosopher/Ethicist,5.0,4.0,5.0,3.0,6.0,3.0,4.0,4.0,243
985,experiment group,innovation,Innovation/Strategy Expert,3.0,3.0,4.0,3.0,4.0,1.0,2.0,3.0,243
987,control group,design_thinking,Design Thinking Expert,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,837
987,control group,social_psych,Social Psychology Researcher,4.0,5.0,5.0,4.0,3.0,3.0,5.0,4.0,837
987,control group,hci,HCI Expert,5.0,5.0,5.0,4.0,5.0,4.0,6.0,5.0,837
987,control group,Philosopher,Philosopher/Ethicist,4.0,5.0,5.0,2.0,3.0,3.0,6.0,4.0,837
987,control group,innovation,Innovation/Strategy Expert,4.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,837
989,experiment group,design_thinking,Design Thinking Expert,5.0,3.0,6.0,5.0,5.0,4.0,6.0,5.0,612
989,experiment group,social_psych,Social Psychology Researcher,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,612
989,experiment group,hci,HCI Expert,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,612
989,experiment group,Philosopher,Philosopher/Ethicist,6.0,4.0,5.0,5.0,5.0,4.0,6.0,5.0,612
989,experiment group,innovation,Innovation/Strategy Expert,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,612
991,experiment group,design_thinking,Design Thinking Expert,3.0,5.0,5.0,4.0,6.0,4.0,3.0,4.0,463
991,experiment group,social_psych,Social Psychology Researcher,6.0,5.0,6.0,5.0,6.0,4.0,2.0,5.0,463
991,experiment group,hci,HCI Expert,4.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,463
991,experiment group,Philosopher,Philosopher/Ethicist,5.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,463
991,experiment group,innovation,Innovation/Strategy Expert,5.0,4.0,5.0,4.0,5.0,4.0,2.0,4.0,463
995,control group,design_thinking,Design Thinking Expert,6.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,124
995,control group,social_psych,Social Psychology Researcher,5.0,4.0,2.0,3.0,3.0,1.0,2.0,3.0,124
995,control group,hci,HCI Expert,5.0,5.0,3.0,4.0,5.0,3.0,3.0,4.0,124
995,control group,Philosopher,Philosopher/Ethicist,5.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,124
995,control group,innovation,Innovation/Strategy Expert,5.0,5.0,3.0,5.0,3.0,3.0,3.0,3.0,124
997,control group,design_thinking,Design Thinking Expert,5.0,4.0,5.0,2.0,3.0,1.0,5.0,4.0,504
997,control group,social_psych,Social Psychology Researcher,4.0,4.0,3.0,3.0,3.0,1.0,4.0,3.0,504
997,control group,hci,HCI Expert,2.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,504
997,control group,Philosopher,Philosopher/Ethicist,5.0,6.0,4.0,4.0,5.0,1.0,4.0,4.0,504
997,control group,innovation,Innovation/Strategy Expert,3.0,5.0,4.0,4.0,4.0,1.0,4.0,4.0,504
1005,experiment group,design_thinking,Design Thinking Expert,4.0,5.0,4.0,4.0,5.0,3.0,2.0,4.0,1175
1005,experiment group,social_psych,Social Psychology Researcher,5.0,4.0,5.0,4.0,4.0,3.0,1.0,4.0,1175
1005,experiment group,hci,HCI Expert,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,1175
1005,experiment group,Philosopher,Philosopher/Ethicist,3.0,4.0,5.0,3.0,4.0,3.0,1.0,3.0,1175
1005,experiment group,innovation,Innovation/Strategy Expert,4.0,5.0,4.0,3.0,5.0,1.0,1.0,4.0,1175
1007,control group,design_thinking,Design Thinking Expert,3.0,4.0,6.0,3.0,2.0,1.0,3.0,3.0,497
1007,control group,social_psych,Social Psychology Researcher,4.0,4.0,6.0,4.0,4.0,3.0,3.0,4.0,497
1007,control group,hci,HCI Expert,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,497
1007,control group,Philosopher,Philosopher/Ethicist,4.0,5.0,5.0,3.0,3.0,2.0,3.0,3.0,497
1007,control group,innovation,Innovation/Strategy Expert,4.0,4.0,5.0,3.0,2.0,2.0,2.0,3.0,497
1009,experiment group,design_thinking,Design Thinking Expert,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,331
1009,experiment group,social_psych,Social Psychology Researcher,2.0,5.0,3.0,4.0,5.0,4.0,6.0,4.0,331
1009,experiment group,hci,HCI Expert,4.0,4.0,5.0,4.0,5.0,4.0,6.0,4.0,331
1009,experiment group,Philosopher,Philosopher/Ethicist,3.0,5.0,4.0,4.0,5.0,3.0,6.0,4.0,331
1009,experiment group,innovation,Innovation/Strategy Expert,3.0,3.0,3.0,3.0,4.0,4.0,6.0,3.0,331
1011,experiment group,design_thinking,Design Thinking Expert,5.0,4.0,5.0,1.0,1.0,2.0,3.0,3.0,405
1011,experiment group,social_psych,Social Psychology Researcher,6.0,6.0,6.0,3.0,3.0,2.0,3.0,3.0,405
1011,experiment group,hci,HCI Expert,5.0,5.0,5.0,3.0,1.0,2.0,3.0,3.0,405
1011,experiment group,Philosopher,Philosopher/Ethicist,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,405
1011,experiment group,innovation,Innovation/Strategy Expert,5.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,405
1015,control group,design_thinking,Design Thinking Expert,2.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,1132
1015,control group,social_psych,Social Psychology Researcher,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,1132
1015,control group,hci,HCI Expert,2.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,1132
1015,control group,Philosopher,Philosopher/Ethicist,2.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,1132
1015,control group,innovation,Innovation/Strategy Expert,2.0,5.0,4.0,1.0,3.0,4.0,4.0,4.0,1132
1017,experiment group,design_thinking,Design Thinking Expert,3.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,468
1017,experiment group,social_psych,Social Psychology Researcher,3.0,5.0,2.0,4.0,5.0,3.0,6.0,4.0,468
1017,experiment group,hci,HCI Expert,5.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,468
1017,experiment group,Philosopher,Philosopher/Ethicist,3.0,5.0,3.0,4.0,5.0,3.0,6.0,4.0,468
1017,experiment group,innovation,Innovation/Strategy Expert,3.0,5.0,4.0,5.0,6.0,4.0,5.0,5.0,468
1021,experiment group,design_thinking,Design Thinking Expert,3.0,3.0,2.0,2.0,3.0,2.0,6.0,3.0,428
1021,experiment group,social_psych,Social Psychology Researcher,4.0,5.0,3.0,3.0,3.0,2.0,5.0,3.0,428
1021,experiment group,hci,HCI Expert,4.0,4.0,3.0,3.0,3.0,2.0,6.0,3.0,428
1021,experiment group,Philosopher,Philosopher/Ethicist,4.0,5.0,3.0,3.0,4.0,2.0,6.0,4.0,428
1021,experiment group,innovation,Innovation/Strategy Expert,5.0,5.0,4.0,4.0,4.0,3.0,6.0,4.0,428
1023,experiment group,design_thinking,Design Thinking Expert,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,841
1023,experiment group,social_psych,Social Psychology Researcher,5.0,5.0,6.0,5.0,5.0,4.0,6.0,5.0,841
1023,experiment group,hci,HCI Expert,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,841
1023,experiment group,Philosopher,Philosopher/Ethicist,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,841
1023,experiment group,innovation,Innovation/Strategy Expert,4.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,841
1027,experiment group,design_thinking,Design Thinking Expert,2.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,665
1027,experiment group,social_psych,Social Psychology Researcher,2.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,665
1027,experiment group,hci,HCI Expert,2.0,3.0,4.0,3.0,3.0,3.0,6.0,3.0,665
1027,experiment group,Philosopher,Philosopher/Ethicist,3.0,4.0,5.0,4.0,4.0,3.0,6.0,4.0,665
1027,experiment group,innovation,Innovation/Strategy Expert,2.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,665
1029,experiment group,design_thinking,Design Thinking Expert,4.0,6.0,4.0,5.0,5.0,1.0,5.0,5.0,725
1029,experiment group,social_psych,Social Psychology Researcher,4.0,5.0,3.0,5.0,6.0,3.0,6.0,5.0,725
1029,experiment group,hci,HCI Expert,3.0,5.0,3.0,5.0,6.0,3.0,6.0,5.0,725
1029,experiment group,Philosopher,Philosopher/Ethicist,4.0,6.0,3.0,6.0,6.0,3.0,5.0,5.0,725
1029,experiment group,innovation,Innovation/Strategy Expert,4.0,6.0,6.0,6.0,6.0,3.0,5.0,6.0,725
1031,experiment group,design_thinking,Design Thinking Expert,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,492
1031,experiment group,social_psych,Social Psychology Researcher,2.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,492
1031,experiment group,hci,HCI Expert,4.0,5.0,5.0,3.0,2.0,3.0,1.0,3.0,492
1031,experiment group,Philosopher,Philosopher/Ethicist,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,492
1031,experiment group,innovation,Innovation/Strategy Expert,4.0,5.0,6.0,5.0,4.0,3.0,2.0,4.0,492
1033,control group,design_thinking,Design Thinking Expert,3.0,3.0,5.0,3.0,5.0,2.0,6.0,3.0,771
1033,control group,social_psych,Social Psychology Researcher,3.0,2.0,4.0,3.0,4.0,4.0,6.0,4.0,771
1033,control group,hci,HCI Expert,3.0,4.0,6.0,3.0,4.0,3.0,6.0,4.0,771
1033,control group,Philosopher,Philosopher/Ethicist,3.0,3.0,6.0,3.0,4.0,3.0,5.0,3.0,771
1033,control group,innovation,Innovation/Strategy Expert,4.0,3.0,4.0,3.0,5.0,3.0,6.0,4.0,771
1035,experiment group,design_thinking,Design Thinking Expert,2.0,3.0,5.0,5.0,3.0,1.0,2.0,3.0,393
1035,experiment group,social_psych,Social Psychology Researcher,1.0,2.0,4.0,6.0,5.0,2.0,2.0,2.0,393
1035,experiment group,hci,HCI Expert,1.0,3.0,5.0,6.0,4.0,2.0,2.0,3.0,393
1035,experiment group,Philosopher,Philosopher/Ethicist,2.0,3.0,5.0,5.0,6.0,3.0,3.0,3.0,393
1035,experiment group,innovation,Innovation/Strategy Expert,2.0,3.0,6.0,6.0,6.0,1.0,2.0,3.0,393
1043,experiment group,design_thinking,Design Thinking Expert,2.0,4.0,3.0,5.0,5.0,3.0,2.0,3.0,398
1043,experiment group,social_psych,Social Psychology Researcher,2.0,4.0,2.0,5.0,5.0,3.0,3.0,3.0,398
1043,experiment group,hci,HCI Expert,3.0,4.0,3.0,5.0,6.0,3.0,3.0,3.0,398
1043,experiment group,Philosopher,Philosopher/Ethicist,2.0,3.0,3.0,4.0,6.0,3.0,1.0,3.0,398
1043,experiment group,innovation,Innovation/Strategy Expert,2.0,3.0,2.0,5.0,6.0,2.0,2.0,2.0,398
1047,control group,design_thinking,Design Thinking Expert,4.0,3.0,5.0,4.0,3.0,3.0,2.0,3.0,510
1047,control group,social_psych,Social Psychology Researcher,4.0,4.0,5.0,5.0,4.0,2.0,3.0,4.0,510
1047,control group,hci,HCI Expert,4.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,510
1047,control group,Philosopher,Philosopher/Ethicist,4.0,4.0,5.0,4.0,3.0,2.0,3.0,4.0,510
1047,control group,innovation,Innovation/Strategy Expert,5.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,510
1049,experiment group,design_thinking,Design Thinking Expert,3.0,3.0,4.0,6.0,6.0,3.0,2.0,3.0,662
1049,experiment group,social_psych,Social Psychology Researcher,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,662
1049,experiment group,hci,HCI Expert,3.0,3.0,3.0,5.0,5.0,4.0,1.0,3.0,662
1049,experiment group,Philosopher,Philosopher/Ethicist,3.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,662
1049,experiment group,innovation,Innovation/Strategy Expert,2.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,662
1053,experiment group,design_thinking,Design Thinking Expert,2.0,5.0,2.0,4.0,5.0,1.0,6.0,4.0,1259
1053,experiment group,social_psych,Social Psychology Researcher,2.0,5.0,3.0,3.0,5.0,2.0,4.0,3.0,1259
1053,experiment group,hci,HCI Expert,2.0,5.0,5.0,3.0,5.0,2.0,6.0,5.0,1259
1053,experiment group,Philosopher,Philosopher/Ethicist,3.0,5.0,5.0,5.0,5.0,1.0,6.0,5.0,1259
1053,experiment group,innovation,Innovation/Strategy Expert,2.0,6.0,4.0,3.0,5.0,2.0,5.0,4.0,1259
1055,experiment group,design_thinking,Design Thinking Expert,3.0,5.0,5.0,3.0,3.0,4.0,6.0,4.0,772
1055,experiment group,social_psych,Social Psychology Researcher,4.0,5.0,5.0,6.0,5.0,4.0,6.0,5.0,772
1055,experiment group,hci,HCI Expert,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,772
1055,experiment group,Philosopher,Philosopher/Ethicist,3.0,5.0,5.0,4.0,4.0,4.0,6.0,4.0,772
1055,experiment group,innovation,Innovation/Strategy Expert,4.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,772
1057,experiment group,design_thinking,Design Thinking Expert,4.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,1218
1057,experiment group,social_psych,Social Psychology Researcher,5.0,5.0,4.0,5.0,5.0,5.0,6.0,5.0,1218
1057,experiment group,hci,HCI Expert,4.0,4.0,5.0,5.0,5.0,6.0,6.0,5.0,1218
1057,experiment group,Philosopher,Philosopher/Ethicist,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,1218
1057,experiment group,innovation,Innovation/Strategy Expert,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,1218
1059,control group,design_thinking,Design Thinking Expert,5.0,6.0,4.0,5.0,5.0,4.0,5.0,5.0,590
1059,control group,social_psych,Social Psychology Researcher,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,590
1059,control group,hci,HCI Expert,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,590
1059,control group,Philosopher,Philosopher/Ethicist,5.0,5.0,5.0,5.0,5.0,4.0,6.0,5.0,590
1059,control group,innovation,Innovation/Strategy Expert,4.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,590
1061,control group,design_thinking,Design Thinking Expert,4.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,1019
1061,control group,social_psych,Social Psychology Researcher,3.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,1019
1061,control group,hci,HCI Expert,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,1019
1061,control group,Philosopher,Philosopher/Ethicist,5.0,5.0,5.0,5.0,5.0,3.0,6.0,5.0,1019
1061,control group,innovation,Innovation/Strategy Expert,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1019
1063,control group,design_thinking,Design Thinking Expert,4.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,926
1063,control group,social_psych,Social Psychology Researcher,2.0,3.0,5.0,3.0,2.0,3.0,2.0,3.0,926
1063,control group,hci,HCI Expert,3.0,3.0,5.0,3.0,5.0,2.0,1.0,3.0,926
1063,control group,Philosopher,Philosopher/Ethicist,4.0,3.0,4.0,3.0,4.0,2.0,1.0,3.0,926
1063,control group,innovation,Innovation/Strategy Expert,3.0,3.0,5.0,2.0,5.0,3.0,3.0,3.0,926
1065,experiment group,design_thinking,Design Thinking Expert,4.0,3.0,3.0,1.0,4.0,3.0,2.0,3.0,773
1065,experiment group,social_psych,Social Psychology Researcher,5.0,4.0,3.0,3.0,6.0,4.0,3.0,4.0,773
1065,experiment group,hci,HCI Expert,3.0,3.0,3.0,2.0,6.0,3.0,3.0,3.0,773
1065,experiment group,Philosopher,Philosopher/Ethicist,3.0,5.0,4.0,3.0,4.0,2.0,3.0,3.0,773
1065,experiment group,innovation,Innovation/Strategy Expert,4.0,4.0,4.0,2.0,5.0,6.0,1.0,4.0,773
1067,experiment group,design_thinking,Design Thinking Expert,6.0,6.0,6.0,6.0,6.0,3.0,2.0,5.0,771
1067,experiment group,social_psych,Social Psychology Researcher,6.0,6.0,6.0,5.0,6.0,2.0,3.0,6.0,771
1067,experiment group,hci,HCI Expert,6.0,5.0,6.0,5.0,5.0,3.0,3.0,5.0,771
1067,experiment group,Philosopher,Philosopher/Ethicist,6.0,6.0,6.0,5.0,5.0,3.0,2.0,5.0,771
1067,experiment group,innovation,Innovation/Strategy Expert,6.0,4.0,6.0,5.0,4.0,3.0,3.0,4.0,771
1069,experiment group,design_thinking,Design Thinking Expert,4.0,4.0,4.0,4.0,5.0,3.0,6.0,4.0,339
1069,experiment group,social_psych,Social Psychology Researcher,5.0,5.0,6.0,6.0,6.0,3.0,6.0,6.0,339
1069,experiment group,hci,HCI Expert,4.0,5.0,6.0,5.0,5.0,3.0,5.0,5.0,339
1069,experiment group,Philosopher,Philosopher/Ethicist,3.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,339
